product_id,product_name,category_name,price
784,'Smartphone','Electronics',373.36
682,'Soccer Ball','Sports & Outdoors',299.34
684,'Tent','Sports & Outdoors',23
204,'Story Book','Books & Stationery',230.11
202,'Skirt','Fashion',176.72
829,'Smartphone','Electronics',196.16
706,'Tablet','Electronics',272.75
405,'Yoga Mat','Sports & Outdoors',292.9
549,'Pillow','Home & Living',429.11
545,'Blanket','Home & Living',191.39
549,'Smartwatch','Electronics',321.14
773,'Notebook','Books & Stationery',494.87
526,'Pillow','Home & Living',122.23
544,'Laptop','Electronics',457.44
943,'Pen','Books & Stationery',443.49
297,'Shirt','Fashion',274.1
107,'Notebook','Books & Stationery',117.47
871,'Smartphone','Electronics',84.89
457,'Tablet','Electronics',196.99
941,'Smartphone','Electronics',344.04
853,'Pillow','Home & Living',153.82
938,'Carpet','Home & Living',383.36
867,'Carpet','Home & Living',308.4
424,'Soccer Ball','Sports & Outdoors',303.48
461,'Blanket','Home & Living',38.38
485,'Novel','Books & Stationery',489.21
704,'Eraser','Books & Stationery',90.91
732,'Shirt','Fashion',380.08
815,'Vase','Home & Living',450.81
768,'Pillow','Home & Living',298.27
658,'Laptop','Electronics',43.03
314,'Dress','Fashion',337.8
264,'Tent','Sports & Outdoors',241.61
653,'Tablet','Electronics',183.61
289,'Smartphone','Electronics',207.28
353,'Pants','Fashion',272.78
824,'T-shirt','Fashion',227.13
499,'Soccer Ball','Sports & Outdoors',484.81
374,'Skirt','Fashion',452.2
355,'Vase','Home & Living',149.77
573,'Running Shoes','Sports & Outdoors',85.85
861,'Soccer Ball','Sports & Outdoors',376.51
410,'Basketball','Sports & Outdoors',37.87
615,'Soccer Ball','Sports & Outdoors',340.85
673,'Basketball','Sports & Outdoors',293.67
182,'Tent','Sports & Outdoors',266.16
971,'Dress','Fashion',203.94
476,'Smartphone','Electronics',234.56
161,'Shirt','Fashion',139.95
837,'Painting','Home & Living',87.3
416,'Soccer Ball','Sports & Outdoors',337.25
660,'Dress','Fashion',66.56
961,'Carpet','Home & Living',113.21
309,'Carpet','Home & Living',249.38
294,'Pillow','Home & Living',11.74
649,'Eraser','Books & Stationery',355.78
945,'Shirt','Fashion',27.65
395,'T-shirt','Fashion',161.05
922,'T-shirt','Fashion',183.3
799,'Basketball','Sports & Outdoors',463.62
311,'Skirt','Fashion',22.15
216,'Story Book','Books & Stationery',140.73
684,'Story Book','Books & Stationery',107.79
354,'Pants','Fashion',21.6
202,'Headphones','Electronics',182.06
119,'Yoga Mat','Sports & Outdoors',470.23
533,'Yoga Mat','Sports & Outdoors',28.75
362,'Vase','Home & Living',307.04
721,'Dress','Fashion',31.75
732,'Basketball','Sports & Outdoors',188.47
675,'Yoga Mat','Sports & Outdoors',335.06
569,'Vase','Home & Living',169.83
915,'Pen','Books & Stationery',341.89
260,'Soccer Ball','Sports & Outdoors',158.9
381,'Vase','Home & Living',226.48
755,'T-shirt','Fashion',149.06
624,'Dress','Fashion',120.07
551,'Eraser','Books & Stationery',426.37
293,'Basketball','Sports & Outdoors',361.99
941,'Smartphone','Electronics',391.43
621,'Running Shoes','Sports & Outdoors',34.61
212,'Skirt','Fashion',337.11
141,'Eraser','Books & Stationery',409.35
858,'Story Book','Books & Stationery',374.39
351,'Carpet','Home & Living',247.45
606,'Blanket','Home & Living',143.14
166,'Pants','Fashion',197.69
348,'Notebook','Books & Stationery',275.88
653,'Eraser','Books & Stationery',473.57
209,'Pen','Books & Stationery',12.89
491,'Eraser','Books & Stationery',376.28
770,'Story Book','Books & Stationery',143.74
