product_id,customer_id,review_score,order_date
964,10211,5,2024-07-23
971,10299,5,2024-11-27
898,10792,5,2024-04-21
693,10825,5,2024-09-09
281,10848,5,2024-05-26
981,11008,5,2024-07-23
114,11021,5,2024-08-12
461,11145,5,2024-04-09
331,11479,5,2025-01-28
642,11645,5,2024-12-23
961,11655,5,2025-03-05
651,11829,5,2024-05-10
479,11871,5,2024-09-23
572,11911,5,2025-02-21
656,12572,5,2025-01-22
466,12817,5,2024-06-06
957,12858,5,2024-06-16
893,13120,5,2024-04-07
852,13425,5,2024-09-14
564,13725,5,2024-06-16
689,14046,5,2024-12-19
178,14361,5,2024-12-12
733,15872,5,2025-03-14
579,16285,5,2024-10-30
522,16430,5,2024-10-23
334,16539,5,2024-04-10
175,16821,5,2024-05-18
224,17074,5,2024-06-02
520,17439,5,2024-08-12
205,17483,5,2024-06-11
787,17937,5,2025-02-17
355,18191,5,2024-12-11
287,18555,5,2025-03-06
121,18651,5,2024-07-04
517,19238,5,2025-01-11
454,19327,5,2024-04-26
648,19510,5,2024-10-21
137,20004,5,2024-05-25
681,20025,5,2024-12-21
627,20351,5,2024-05-30
380,20522,5,2024-11-07
843,21004,5,2024-04-17
143,21391,5,2025-01-11
369,21473,5,2024-10-19
112,21588,5,2024-03-25
206,21731,5,2024-08-19
560,21745,5,2024-12-23
789,22228,5,2025-02-08
870,22264,5,2024-03-26
888,22599,5,2025-01-28
196,22739,5,2024-07-15
658,23094,5,2025-01-17
508,23420,5,2024-08-19
468,23601,5,2024-08-12
388,23743,5,2024-04-14
229,24196,5,2025-01-06
674,24734,5,2025-03-05
818,24744,5,2024-07-08
766,25091,5,2025-01-30
977,25309,5,2024-08-24
275,25561,5,2024-11-23
423,25702,5,2025-03-12
544,25852,5,2025-02-04
507,25889,5,2024-09-24
822,26186,5,2024-05-27
217,26583,5,2024-04-10
952,26652,5,2024-09-24
349,26742,5,2024-08-30
667,26849,5,2024-11-24
144,27123,5,2024-12-27
119,27303,5,2024-05-25
549,27389,5,2025-01-31
385,27730,5,2025-03-19
106,27736,5,2024-11-08
555,28298,5,2024-06-07
951,29007,5,2024-09-11
596,29305,5,2024-07-24
162,29306,5,2024-12-07
481,29312,5,2024-08-12
749,29786,5,2024-09-10
150,29895,5,2024-04-17
829,29989,5,2024-12-03
493,30090,5,2024-03-26
343,31593,5,2025-02-16
490,31977,5,2024-04-01
476,32232,5,2024-09-23
241,32331,5,2025-01-23
638,32522,5,2024-11-17
387,32947,5,2025-01-10
298,33094,5,2024-08-12
855,33156,5,2025-03-16
236,33203,5,2024-05-31
863,33496,5,2024-09-24
405,33743,5,2024-12-24
531,33753,5,2024-08-18
716,33770,5,2025-03-10
712,33859,5,2025-01-26
755,33897,5,2024-06-11
347,34224,5,2025-01-27
204,34368,5,2024-07-31
636,34709,5,2024-10-28
355,35007,5,2024-06-09
149,35014,5,2024-07-28
391,35117,5,2025-02-24
956,35155,5,2024-11-19
209,35246,5,2024-10-11
748,35822,5,2024-04-22
606,36231,5,2024-05-18
704,36732,5,2025-01-12
628,37040,5,2024-07-28
765,37275,5,2024-07-22
736,37431,5,2024-04-28
681,37624,5,2025-03-08
971,37787,5,2024-08-02
792,37813,5,2024-08-02
855,37821,5,2024-07-12
826,38096,5,2024-05-30
976,38512,5,2025-03-09
884,38565,5,2024-10-28
851,38645,5,2025-02-12
665,38806,5,2024-07-14
928,38808,5,2024-04-21
225,39126,5,2024-08-09
399,39267,5,2024-10-02
301,39825,5,2024-03-28
953,39828,5,2025-02-12
339,39858,5,2024-08-29
967,39860,5,2025-03-11
509,40540,5,2024-10-25
569,41014,5,2024-07-11
862,41135,5,2024-08-17
529,42068,5,2024-05-12
317,42097,5,2024-05-08
149,42739,5,2024-09-29
221,43226,5,2024-09-09
302,43591,5,2024-06-12
188,44470,5,2024-03-20
801,44902,5,2024-07-12
879,44994,5,2024-12-14
349,45435,5,2024-07-06
300,45508,5,2024-10-15
200,45699,5,2025-02-03
266,46059,5,2025-01-27
263,46244,5,2024-07-23
329,46965,5,2025-02-21
700,47189,5,2024-05-10
776,47335,5,2024-08-25
141,47342,5,2024-08-30
517,47349,5,2025-01-26
868,47485,5,2025-01-16
292,48366,5,2024-10-12
374,48551,5,2025-01-14
620,48665,5,2024-05-14
161,48690,5,2024-04-11
545,48695,5,2024-04-12
285,48803,5,2024-09-27
395,48813,5,2025-03-14
931,48904,5,2025-02-07
910,49262,5,2024-07-14
526,49331,5,2024-05-21
508,49509,5,2024-08-18
911,49782,5,2024-10-27
832,49861,5,2024-11-24
880,49993,5,2024-03-23
910,50447,5,2024-10-21
868,50538,5,2024-10-02
472,50771,5,2024-05-16
481,50813,5,2025-01-29
101,50937,5,2024-11-05
688,50980,5,2024-05-29
222,51106,5,2025-03-03
608,51171,5,2024-09-08
398,51301,5,2025-01-07
418,51391,5,2025-02-15
861,51679,5,2024-03-29
479,51714,5,2024-07-12
713,51729,5,2025-01-24
471,51963,5,2024-08-04
648,52213,5,2025-02-21
806,52647,5,2024-12-16
503,53070,5,2024-11-19
314,53269,5,2024-08-09
899,53652,5,2024-06-14
256,53843,5,2024-11-12
624,53928,5,2024-07-18
268,53993,5,2025-03-06
676,54459,5,2024-05-22
678,54476,5,2025-01-14
190,54645,5,2024-07-30
343,54710,5,2024-04-11
369,54869,5,2024-03-29
491,54901,5,2024-06-04
684,55098,5,2025-02-04
866,55131,5,2024-11-08
151,55184,5,2024-06-09
753,55371,5,2024-04-02
139,55426,5,2024-12-08
614,55539,5,2024-12-13
776,55698,5,2025-03-16
915,55865,5,2024-03-26
431,55931,5,2024-09-13
361,56464,5,2024-09-23
922,56955,5,2024-07-14
294,57158,5,2024-07-25
426,57240,5,2024-12-12
284,57457,5,2024-05-11
394,57585,5,2025-01-07
787,58283,5,2025-01-25
187,58295,5,2024-07-17
536,58363,5,2024-09-02
522,58368,5,2024-12-08
128,58481,5,2024-04-18
613,58706,5,2025-02-07
318,58789,5,2024-07-01
876,58848,5,2024-08-08
489,58911,5,2024-07-03
139,59644,5,2024-10-28
210,59875,5,2024-08-02
173,60063,5,2024-12-19
486,60294,5,2024-04-19
636,60295,5,2024-09-14
775,60712,5,2025-02-09
424,60808,5,2025-01-08
311,61329,5,2024-12-07
544,61360,5,2024-12-03
586,61595,5,2024-11-01
264,61642,5,2024-11-24
375,62030,5,2024-05-28
222,62444,5,2024-10-14
200,62981,5,2024-07-20
990,63024,5,2024-12-24
525,63051,5,2024-08-15
722,63278,5,2024-05-31
781,63842,5,2024-06-22
970,64016,5,2024-10-29
780,64425,5,2024-12-19
166,64684,5,2024-11-16
938,65011,5,2025-02-20
204,65208,5,2024-10-28
533,65579,5,2024-10-07
732,65624,5,2024-03-26
368,65789,5,2024-08-12
983,66073,5,2025-01-30
112,66492,5,2025-02-21
632,66682,5,2025-02-04
865,66782,5,2024-07-04
568,66977,5,2025-03-18
348,67596,5,2025-02-15
854,67667,5,2024-11-14
671,67837,5,2025-02-02
311,68416,5,2024-12-15
209,68792,5,2024-11-09
957,68904,5,2024-12-16
220,69068,5,2024-09-07
660,69170,5,2024-05-30
683,69355,5,2024-12-04
941,69719,5,2024-12-24
848,69895,5,2024-04-27
203,71005,5,2024-09-26
289,71248,5,2024-07-01
522,71870,5,2024-12-30
349,72072,5,2025-02-09
329,72159,5,2024-05-12
959,72236,5,2024-07-05
435,72238,5,2024-03-28
557,72471,5,2024-08-22
828,72701,5,2024-03-22
171,73069,5,2024-08-01
883,73282,5,2024-07-23
799,73293,5,2024-04-30
538,73481,5,2024-08-24
773,74067,5,2024-06-27
631,74218,5,2024-12-30
750,74233,5,2024-10-13
173,74288,5,2024-08-04
677,74490,5,2024-05-26
204,74956,5,2024-12-14
560,76057,5,2024-07-03
673,76140,5,2024-06-29
576,76411,5,2024-11-18
295,76505,5,2024-12-11
